-- dump date   	20080125_165742
-- class       	Genbank::Feature
-- table       	feature
-- table       	main
-- field 1	id
-- field 2	type
-- field 3	name
-- field 4	contig
-- field 5	start_pos
-- field 6	end_pos
-- field 7	strand
-- field 8	description
-- field 9	chrom_position
-- field 10	organism
-- field 11	GeneID
-- header
-- id	type	name	contig	start_pos	end_pos	strand	description	chrom_position	organism	GeneID
83333000001	SEQ_END	SEQ_END	NC_000913.2	4639675	4639675	DR	NC_000913.2; contig end	4639675..4639675	Escherichia coli K12	<NULL_VALUE>
NP_414542.1	CDS	thrL	NC_000913.2	190	255	D	thr operon leader peptide	190..255	Escherichia coli K12	944742
NP_414543.1	CDS	thrA	NC_000913.2	337	2799	D	fused aspartokinase I and homoserine dehydrogenase I	337..2799	Escherichia coli K12	945803
NP_414544.1	CDS	thrB	NC_000913.2	2801	3733	D	homoserine kinase	2801..3733	Escherichia coli K12	947498
NP_414545.1	CDS	thrC	NC_000913.2	3734	5020	D	threonine synthase	3734..5020	Escherichia coli K12	945198
NP_414546.1	CDS	yaaX	NC_000913.2	5234	5530	D	predicted protein	5234..5530	Escherichia coli K12	944747
NP_414547.1	CDS	yaaA	NC_000913.2	5683	6459	R	conserved protein	complement(5683..6459)	Escherichia coli K12	944749
NP_414548.1	CDS	yaaJ	NC_000913.2	6529	7959	R	predicted transporter	complement(6529..7959)	Escherichia coli K12	944745
NP_414549.1	CDS	talB	NC_000913.2	8238	9191	D	transaldolase B	8238..9191	Escherichia coli K12	944748
NP_414550.1	CDS	mog	NC_000913.2	9306	9893	D	predicted molybdochelatase	9306..9893	Escherichia coli K12	944760
NP_414551.1	CDS	yaaH	NC_000913.2	9928	10494	R	conserved inner membrane protein associated with acetate transport	complement(9928..10494)	Escherichia coli K12	944792
NP_414552.1	CDS	yaaW	NC_000913.2	10643	11356	R	conserved protein	complement(10643..11356)	Escherichia coli K12	944771
NP_414554.1	CDS	yaaI	NC_000913.2	11382	11786	R	predicted protein	complement(11382..11786)	Escherichia coli K12	944751
NP_414555.1	CDS	dnaK	NC_000913.2	12163	14079	D	chaperone Hsp70, co-chaperone with DnaJ	12163..14079	Escherichia coli K12	944750
NP_414556.1	CDS	dnaJ	NC_000913.2	14168	15298	D	chaperone Hsp40, co-chaperone with DnaK	14168..15298	Escherichia coli K12	944753
NP_414557.1	CDS	insL	NC_000913.2	15445	16557	D	IS186/IS421 transposase	15445..16557	Escherichia coli K12	944754
